carob bean gum (locust bean gum),STAB/EMUL
carob bean gum (locust bean gum),GRAS
carotene,NUTR/DS
carotene,GMP
carotene,GRAS
"carrageenan and its ammonium, calcium, potassium, or sodium salts",REG/FS
"carrageenan and its ammonium, calcium, potassium, or sodium salts",STAB
"carrageenan and its ammonium, calcium, potassium, or sodium salts",REG
"carrageenan and its ammonium, calcium, potassium, or sodium salts",GMP
carrageenan or carrageenan salts with polysorbate 80,REG
carrageenan or carrageenan salts with polysorbate 80,MISC
carrot,ESO
carrot,GRAS
cascara sagrada,GMP
cascara sagrada,REG
cascara sagrada,FL/ADJ
cascarilla bark,ESO
cascarilla bark,GRAS
"cassia, cassia bark (chinese, padang or batavia, saigon)",SP/ESO
"cassia, cassia bark (chinese, padang or batavia, saigon)",GRAS
cassie flowers,GMP
cassie flowers,REG
cassie flowers,FL/ADJ
castoreum,MISC
castoreum,GRAS
castor oil,FL/ADJ
castor oil,MISC
castor oil,GMP
castor oil,REG
castor oil,XIX
castor oil,USP
"catalase, bacterial (derived from micrococcus lysodeikticus)",REG/FS
"catalase, bacterial (derived from micrococcus lysodeikticus)",ENZ
"catechu, black",GMP
"catechu, black",REG
"catechu, black",FL/ADJ
cayenne pepper,GRAS
"cedar, white (arborvitae) leaves and twigs",GMP
"cedar, white (arborvitae) leaves and twigs",REG
"cedar, white (arborvitae) leaves and twigs",FL/ADJ
ceftiofur,REG
ceftiofur,VET
celery seed,SP/ESO
celery seed,GRAS
cellulase enzyme derived from aspergillus niger,ENZ
cellulase enzyme derived from aspergillus niger,REG
cellulase enzyme derived from aspergillus niger,GMP
cellulose gum,STAB
cellulose gum,GRAS/FS
cellulose triacetate,GMP
cellulose triacetate,MISC
centaury (centrurium) her,GMP
centaury (centrurium) her,REG
centaury (centrurium) her,FL/ADJ
"cephapirin, sodium",REG
"cephapirin, sodium",VET
cephapirin benzathine,REG
cephapirin benzathine,VET
"cetyl alcohol, synthetic",GMP
"cetyl alcohol, synthetic",REG
"cetyl alcohol, synthetic",MISC
cetylpyridinium chloride,REG
chamomile flowe,REG
"chamomile flower, english, oil",REG
"chamomile flower, english, oil",ESO
chemicals for controlling micro-organisms in cane sugar and beet sugar mill,REG
chemicals used in washing fruits & vegs. or to assist in peeling fruits and vegs,REG
chemicals used in washing fruits & vegs. or to assist in peeling fruits and vegs,MISC
cherry-laurel leaves,GMP
cherry-laurel leaves,REG
cherry-laurel leaves,FL/ADJ
cherry-laurel water,FL/ADJ
"cherry, pits, extract",GMP
"cherry, pits, extract",REG
"cherry, pits, extract",FL/ADJ
"cherry, wild, bark",ESO
"cherry, wild, bark",GRAS
chervil,GRAS
chervil,FLAV
chervil,ESO/SP
chervil extract,ESO
chervil extract,GRAS
chestnut leaves/extract,REG
chestnut leaves/extract,FL/ADJ
chewing gum base,GMP
chewing gum base,REG
chewing gum base,MISC
chicle,REG
chicle,MISC
chicory,ESO
chicory,GRAS
chilte,REG
chilte,MISC
chilquibul,REG
chilquibul,MISC
"chirata (chiretta, east indian bolonong) & herb extract",GMP
"chirata (chiretta, east indian bolonong) & herb extract",REG
"chirata (chiretta, east indian bolonong) & herb extract",FL/ADJ
"chirata (chiretta, east indian bolonong) & herb extract",GRAS
chloramphenicol,REG
chloramphenicol,VET
chloramphenicol,ZERO
chlorhexidine dihydrochloride,REG
chlorhexidine dihydrochloride,VET
chlorhexidine dihydrochloride,ZERO
chlorine & chlorine dioxide,GMP
chlorine dioxide,REG
chlorine dioxide,MISC
"chlorine dioxide, stabilized",SANI
"chlorine dioxide, stabilized",REG
chlorobutanol,REG
chlorobutanol,VET
chlorobutanol,ZERO
chlorofluorocarbon-113,GMP
chlorofluorocarbon-113,REG
chlorofluorocarbon-113,MISC
chloromethylated aminated styrene di-vinylbenzene resin,REG
chloromethylated aminated styrene di-vinylbenzene resin,MISC
2-chloro-4-nitrobenzamide,REG
2-chloro-4-nitrobenzamide,FEED
"chloropentafluoroethane alone or comb/w carbon dioxide nitrous oxide, propane, or octafluorocyclobutane",REG
"chloropentafluoroethane alone or comb/w carbon dioxide nitrous oxide, propane, or octafluorocyclobutane",MISC
clorsulon,REG
clorsulon,VET
chlortetracycline,REG
chlortetracycline,FEED
choline bitartrate,NUTR/DS
choline bitartrate,GMP
choline bitartrate,GRAS
choline chloride,NUTR/DS
choline chloride,GMP
choline chloride,GRAS
choline xanthate,GMP
choline xanthate,REG
choline xanthate,FEED
chymosin enzyme preparation derived from e. coli k­12,ENZ
chymosin enzyme preparation derived from e. coli k­12,GMP
chymosin enzyme preparation derived from e. coli k­12,GRAS
"cinchona bark, red or yellow",REG
"cinchona bark, red or yellow",FL/ADJ
"cinnamon & bark & leaf, ceylon, chinese, and saigon",GRAS
"cinnamyl anthranilate - syl/fl, ban, zero - 189.113",BAN
"cinnamyl anthranilate - syl/fl, ban, zero - 189.113",SYL/FL
"cinnamyl anthranilate - syl/fl, ban, zero - 189.113",ZERO
cire d'abielle,GMP
cire d'abielle,REG
cire d'abielle,FL/ADJ
citric acid,SEQ/B
citric acid,GRAS
citric acid,GMP
citric acid,GRAS/FS
citric acid,REG
citric acid,FEED
citronella,ESO
citronella,GRAS
"citrus bioflavonoids - ds, ill, any claim for special dietary use renders the food misbranded (vitasafe case)",ILL
citrus peels,ESO
citrus peels,GRAS
"civet (zibeth, zibet, zibetum)",ESO
"civet (zibeth, zibet, zibetum)",GRAS
clary (clary sage),SP/ESO
clary (clary sage),GRAS
"clopidol (3,5-dichloro-2,6-dimethyl-4-pyridinol)",REG
"clopidol (3,5-dichloro-2,6-dimethyl-4-pyridinol)",FEED
cloxacillin,REG
cloxacillin,VET
"clove, bud, leaf, and ste",ESO
"clove, bud, leaf, and ste",GRAS
clover,SP/ESO
clover,GRAS
cloves,GRAS
coatings on fresh citrus fruits,GMP
coatings on fresh citrus fruits,CTG
coatings on fresh citrus fruits,REG
"cobalt (acetate, carbonate, chloride, oxide, sulfate)",NUTR
"cobalt (acetate, carbonate, chloride, oxide, sulfate)",GRAS
"cobaltous salts (acetate) - misc, ill, illegal for use, 172.260 revoked chloride, sulfate) 8/12/66",MISC
"cobaltous salts (acetate) - misc, ill, illegal for use, 172.260 revoked chloride, sulfate) 8/12/66",ILL
coca (decocainized),ESO
coca (decocainized),GRAS
cocoa butter substitute from palm oil,GMP
cocoa butter substitute from palm oil,GRAS
"cocoa butter substitute from coconut oil, palm kernel oil or both",REG
"cocoa butter substitute from coconut oil, palm kernel oil or both",ESO
cocoa with dioctyl sodium sulfosuccinate for manufacturing,REG
cocoa with dioctyl sodium sulfosuccinate for manufacturing,FLV
coffee,ESO
coffee,GRAS
"cognac oil, white and green",MISC
"cognac oil, white and green",GRAS
cola nut,ESO
cola nut,GRAS
colloidal silicon dioxide,REG
combustion product gas,GMP
combustion product gas,REG
combustion product gas,MISC
condensed animal protein hydrolysate,REG
condensed animal protein hydrolysate,FEED
copaiba,GMP
copaiba,REG
copaiba,FL/ADJ
"copals, manila",REG
"copals, manila",MISC
copolymer condensates of ethylene oxide and propylene oxide,STAB
